question_text,options,solution_text,question_no,exercise,path,chapter,subject,grade,book
Predecessor of a two digit number is always a two digit number.,NA,"False.

If we consider a 2-digit number 10, then its predecessor will be
10 - 1 = 9, which is a 1-digit number.
∴ It is false.",Q. 57,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
Every whole number has its successor.,NA,"True
Whole number = 0, 1, 2, 3……
∴ every whole number has its successor as + 1 can be added to each number.",Q. 58,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
Every whole number has its predecessor.,NA,"False
Whole number = 0, 1, 2, 3……
If we consider whole number 0, we get 0 – 1 = -1 which is an integer but not a whole number.
∴ It is false.",Q. 59,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Between any two natural numbers, there is one natural number.",NA,"False.
If we take any two natural numbers say (x, y), Then their will be
x –y -1 (x > y) natural number.
eg. For natural number 2 and 6 there are 3, 4, 5 natural numbers in between.
∴ It is false",Q. 60,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
The smallest 4-digit number is the successor of the largest 3-digit number.,NA,"True.
Smallest 4-digit number = 1000
Largest 3- digit number = 999
∴ Successor of 999 is 999 + 1 = 1000.
Thus, it is true",Q. 61,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Of the given two natural numbers, the one having more digits is greater.",NA,"True.
It is always true as it is a general rule.",Q. 62,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
Natural numbers are closed under addition.,NA,"True.

It is general property of natural number.
Sum of any two natural numbers is always a natural number.
∴ Natural numbers are closed under addition.",Q. 63,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
Natural numbers are not closed under multiplication.,NA,"False.

Multiplication of any two natural number is always a natural number.
∴ Natural numbers are closed under multiplication.",Q. 64,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
Natural numbers are closed under subtraction.,NA,"False.

Subtraction of two natural numbers can give three results
Positive integer, Negative integer and 0.
In case of negative integer and 0, they are not natural numbers.
∴ Natural numbers are not closed under subtraction.",Q. 65,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
Addition is commutative for natural numbers.,NA,"True.
It is general property of natural number .
If a and b are natural numbers then they follow the commutative property i.e. a + b = b + a.
∴ Addition is commutative for natural numbers.",Q. 66,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
1 is the identity for addition of whole numbers.,NA,"False.

If we add 1 to any whole number we will not get the same whole number. If x is the whole number, then x + 1 ≠ x.
∴ 1 is not the identity for addition of whole numbers.",Q. 67,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
1 is the identity for multiplication of whole numbers.,NA,"True.

If we multiply 1 to any whole number we will get the same whole number. If x is the whole number, then n × 1 = n
∴ 1 is the identity for multiplication of whole numbers.",Q. 68,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"There is a whole number which when added to a whole number, gives the number itself.",NA,"True.

We know that 0 is the identity for addition of whole numbers i.e.
If we add 0 to any whole number we will get the same whole number. If x is the whole number, then x + 0 = x.",Q. 69,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"There is a natural number which when added to a natural number, gives the number itself.",NA,"False.

∴ 0 is the identity for addition of numbers i.e.
If n is a natural number, then n + 0 = n.
But 0 is not a natural number.
∴ It is false.",Q. 70,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If a whole number is divided by another whole number, which is greater than the first one, the quotient is not equal to zero.",NA,"True
It is always true.",Q. 71,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
Any non-zero whole number divided by itself gives the quotient 1.,NA,"True
It is always true as any non-zero number when divided by itself gives quotient 1.",Q. 72,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
The product of two whole numbers need not be a whole number.,NA,"False
We know that, whole numbers are closed under multiplication i.e. Product of two whole numbers always gives a whole number.",Q. 73,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
A whole number divided by another whole number greater than 1 never gives the quotient equal to the former.,NA,"True.
∴ It is general rule so it is true.",Q. 74,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
Every multiple of a number is greater than or equal to the number.,NA,"True
It is always true as it is a standard property.",Q. 75,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
The number of multiples of a given number is finite.,NA,"False
As we know that numbers are infinite, they have infinite number of multiplies.",Q. 76,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
Every number is a multiple of itself.,NA,"True
When any number is multiplied by 1 we get the same number.
Hence, every number is a multiple of itself.",Q. 77,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
Sum of two consecutive odd numbers is always divisible by 4.,NA,"True
It is a general property,
e.g. Let two consecutive odd numbers be 1 and 3
⇒ Sum = 1 + 3 = 4, which is divisible by 4.
∴ Sum of two consecutive odd numbers is always divisible by 4.",Q. 78,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If a number divides three numbers exactly, it must divide their sum exactly.",NA,"True
It is a general property so it is always true.
e.g. Say 3 divides 6, 9 and 12 exactly
Then, Sum = 6 + 9 + 12 = 27, which is exactly divisible by 3.",Q. 79,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If a number exactly divides the sum of three numbers, it must exactly divide the numbers separately.",NA,"False

It is not true.
We know that, If a number divides three numbers exactly, it must divide their sum exactly but its vice versa is not necessarily to be true.",Q. 80,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If a number is divisible both by 2 and 3, then it is divisible by 12.",NA,"False.
Consider a number 6 it is divisible by 2 and 3, But it is not divisible by 12.

∴ It is false.",Q. 81,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"A number with three or more digits is divisible by 6, if the number formed by its last two digits (i.e., ones and tens) is divisible by 6.",NA,"False
It is not necessarily to be true.
Consider 3-digit number 166 in this 66 formed by ones and tens digit is divisible by 6 but the number 166 is not divisible by 6.",Q. 82,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"A number with 4 or more digits is divisible by 8, if the number formed by the last three digits is divisible by 8.",NA,"True.
It is true as any number is divisible by 8 if its last 3-digit is divisible by 8.",Q. 83,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If the sum of the digits of a number is divisible by 3, then the number itself is divisible by 9.",NA,"False.
According to divisibility test of 9, A number is divisible by 9 if the sum of all the digits of that number is divisible by 9.

∴ It is False.",Q. 84,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
All numbers which are divisible by 4 may not be divisible by 8.,NA,"True

It is true.
e.g. consider a number 12 it is divisible by 4 but not by 8.",Q. 85,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
The Highest Common Factor of two or more numbers is greater than their Lowest Common Multiple.,NA,"False.
It is false as the Highest Common Factor of two or more numbers is lower than their Lowest Common Multiple.",Q. 86,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
LCM of two or more numbers is divisible by their HCF.,NA,"True

It is always true.

e.g. consider two number 4 and 6. Its LCM is 12 and HCF is 2
12 is divisible by 2.",Q. 87,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
LCM of two numbers is 28 and their HCF is 8.,NA,"False

It is not possible as LCM is not exactly divisible by HCF.",Q. 88,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
LCM of two or more numbers may be one of the numbers.,NA,"True.

If the two numbers are such that one is the multiple of other, then their LCM will be the greater of two numbers.",Q. 89,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
HCF of two or more numbers may be one of the numbers.,NA,"True.

If the two numbers are such that one is the multiple of other, then their HCF will be smallest of the two numbers.",Q. 90,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
Every whole number is the successor of another whole number.,NA,"False
0 is the only number which is not the successor of any whole number.",Q. 91,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
Sum of two whole numbers is always less than their product.,NA,"False.
In case of 0 and 1. Sum = 1 and Product = 0
⇒ Sum is greater than product
Also, In case of 2 and 2. Sum is equal to product.
∴ It is not necessary that sum of two whole numbers is always less than their product.",Q. 92,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If the sum of two distinct whole numbers is odd, then their difference also must be odd.",NA,"True
It is general property so it is always true.
e.g. consider two number 2 (even) and 9 (odd).
Sum = 2 + 9 = 11 (odd) and Difference = 9 – 2 = 7 (odd)",Q. 93,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
Any two consecutive numbers are co-prime.,NA,"True
It is always true as one is odd and is even. Thus they always have HCF as 1.",Q. 94,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If the HCF of two numbers is one of the numbers, then their LCM is the other number.",NA,"True

We know that, HCF × LCM = First number × Second number

If HCF = First number
⇒ HCF × LCM = HCF × Second number

⇒ LCM = Second number",Q. 95,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
The HCF of two numbers is smaller than the smaller of the numbers.,NA,"False
We know that, HCF of two numbers is either greater than or equal to smaller of the two number.
∴ It is false.",Q. 96,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
The LCM of two numbers is greater than the larger of the numbers.,NA,"False

It is not always necessary that LCM of two numbers is greater than the larger of the number, sometimes LCM is equal to larger of the number (if one number is multiple of the other number).",Q. 97,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
The LCM of two coprime numbers is equal to the product of the number.,NA,"True.
It is always true.
e.g. consider two co-prime numbers 7 and 13.
LCM = 91 and their product is 7 × 13 = 91.",Q. 98,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"A. 10 million = _____ crore.

B. 10 lakh = _____ million",NA,"A. We know that 1 crore = 1, 00, 00, 000 million

= 10, 000, 000

= 10 1, 000, 000

= 10 million

Therefore, 1crore = 10 million

So, 10 million = 1 crore

B. We know that 10 lakh = 10, 00, 000

= 1, 000, 000

= 1 million

Therefore, 10 lakhs = 1 million",Q. 99,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"A. 1 metre = _____ millimetres.

B. 1 centimetre = _____ millimetres.
C. 1 kilometre = _____ millimetres.",NA,"A. We know that 1 metre = 100 centimetres.
Also 1 centimetre = 10 milimetres.

So, 1 metre = 100 1 centimetre

⇒ 1 metre = 100 10 milimetres

⇒ 1 metre = 1000 milimetres.

B. We know that 1 centimetre = 10 milimetres.

C. We know that 1 kilometre = 1000 metres.

1 metre = 100 centimetre.

1 centimetre = 10 milimetre.

1 kilometre = 1000 1 metre

1 kilometre = 1000 100 1 centimetres

1 kilometre = 1000 100 10 milimetres

1 kilometre = 1000000 milimetres.",Q. 100,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
